Date,Close
2024-05-01,150.25
2024-05-02,151.80
2024-05-03,150.10
2024-05-06,149.00
2024-05-07,148.70
2024-05-08,150.50
2024-05-09,151.20
2024-05-10,152.40
2024-05-13,151.90
2024-05-14,150.30
2024-05-15,149.75
2024-05-16,150.90
2024-05-17,151.10
2024-05-20,152.30
2024-05-21,153.00
2024-05-22,152.80
2024-05-23,154.20
2024-05-24,153.50
2024-05-27,154.90
2024-05-28,156.10
2024-05-29,155.60
2024-05-30,157.20
2024-05-31,158.40
2024-06-03,157.80
2024-06-04,156.70
2024-06-05,155.50
2024-06-06,154.80
2024-06-07,155.90
2024-06-10,157.10
2024-06-11,158.60
